Format Version,1.23,Take Name,Take 2021-07-09 18.50.59 AM_011,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-07-11 01.30.30.273 下午,Total Frames in Take,1056,Total Exported Frames,1056,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV
,ID,"E3F037E3E20611EB1371DA7D1A00D188","E3F037E3E20611EB1371DA7D1A00D188","E3F037E3E20611EB1371DA7D1A00D188","E3F037E3E20611EB1371DA7D1A00D188","E3F037E3E20611EB1371DA7D1A00D188","E3F037E3E20611EB1371DA7D1A00D188","E3F037E3E20611EB1371DA7D1A00D188","E3F037E3E20611EB1371DA7D1A00D188"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
0,0.000000,-0.002988,0.929947,-0.002231,-0.367675,1.472419,0.534144,-6.493717,0.000819
1,0.008333,-0.002147,0.929393,-0.003942,-0.369064,1.471809,0.534361,-6.493180,0.001035
2,0.016667,-0.001144,0.929450,-0.002975,-0.368934,1.471810,0.534646,-6.491774,0.000653
3,0.025000,-0.001904,0.929638,-0.003204,-0.368454,1.469665,0.533860,-6.491282,0.000629
4,0.033333,-0.858013,0.110925,0.423500,0.268619,1.483099,0.578292,-6.484750,0.001581
5,0.041667,-0.001465,0.929555,-0.004289,-0.368655,1.468609,0.534413,-6.489200,0.001053
6,0.050000,0.731847,0.236440,-0.361479,-0.527095,1.469144,0.449247,-6.551005,0.001639
7,0.058333,-0.001738,0.930197,-0.002864,-0.367045,1.466809,0.534198,-6.486795,0.000830
8,0.066667,-0.013413,0.918487,-0.006309,0.395174,1.460423,0.534549,-6.482631,0.000929
9,0.075000,-0.000926,0.929866,-0.003643,-0.367880,1.464822,0.533952,-6.485270,0.000683
10,0.083333,-0.000711,0.929895,-0.003501,-0.367807,1.464065,0.533843,-6.484229,0.000729
11,0.091667,-0.000355,0.929926,-0.003689,-0.367729,1.464190,0.534449,-6.482799,0.000876
12,0.100000,0.000189,0.929577,-0.004287,-0.368602,1.462942,0.534122,-6.482237,0.000844
13,0.108333,-0.001011,0.929881,-0.005905,-0.367812,1.462425,0.534882,-6.480841,0.001395
14,0.116667,0.000244,0.929587,-0.005618,-0.368561,1.460770,0.534166,-6.480382,0.000646
15,0.125000,-0.000745,0.929934,-0.006262,-0.367672,1.460667,0.534905,-6.478763,0.001406
16,0.133333,-0.000701,0.930551,-0.003579,-0.366144,1.459191,0.534150,-6.477472,0.000836
17,0.141667,-0.000995,0.930470,-0.005430,-0.366328,1.457879,0.534396,-6.476483,0.001118
18,0.150000,0.000255,0.929998,-0.005403,-0.367524,1.457615,0.534360,-6.475734,0.001062
19,0.158333,-0.000176,0.930210,-0.005472,-0.366988,1.457602,0.534815,-6.474079,0.000955
20,0.166667,-0.000250,0.930688,-0.003783,-0.365793,1.455584,0.534067,-6.473114,0.000841
21,0.175000,-0.000163,0.930135,-0.006520,-0.367159,1.455258,0.534779,-6.472231,0.001390
22,0.183333,0.001191,0.929898,-0.004758,-0.367786,1.454051,0.533967,-6.471459,0.000804
23,0.191667,,,,,,,,
24,0.200000,0.000155,0.930359,-0.005666,-0.366606,1.453102,0.534757,-6.468472,0.000924
25,0.208333,0.001295,0.930019,-0.004771,-0.367478,1.451319,0.533969,-6.468013,0.000790
26,0.216667,0.000591,0.930461,-0.004476,-0.366364,1.449831,0.533710,-6.466779,0.000747
27,0.225000,0.000764,0.930455,-0.004693,-0.366376,1.449927,0.534317,-6.465223,0.000857
28,0.233333,-0.000232,0.931013,-0.004591,-0.364957,1.448388,0.534227,-6.463738,0.000958
29,0.241667,0.000525,0.930550,-0.004693,-0.366135,1.446880,0.533768,-6.463316,0.000625
30,0.250000,0.001091,0.930172,-0.005291,-0.367085,1.446813,0.534021,-6.462158,0.000885
31,0.258333,0.000634,0.930612,-0.004610,-0.365977,1.446050,0.534250,-6.460546,0.000867
32,0.266667,0.000598,0.930636,-0.004407,-0.365918,1.443990,0.533555,-6.459756,0.000725
33,0.275000,0.000650,0.930689,-0.004469,-0.365783,1.444052,0.534183,-6.458133,0.000911
34,0.283333,-0.000006,0.930692,-0.005759,-0.365759,1.443525,0.534700,-6.456738,0.000976
35,0.291667,-0.000416,0.931224,-0.004488,-0.364418,1.441556,0.534103,-6.455441,0.000927
36,0.300000,0.000745,0.930312,-0.005983,-0.366719,1.440233,0.533896,-6.455218,0.000663
37,0.308333,-0.000163,0.930808,-0.005591,-0.365465,1.440467,0.534621,-6.453053,0.000921
38,0.316667,-0.000945,0.931212,-0.004915,-0.364444,1.437862,0.533845,-6.452386,0.000817
39,0.325000,0.000279,0.930442,-0.006325,-0.366384,1.437255,0.534082,-6.451489,0.000856
40,0.333333,-0.002276,0.931443,-0.006631,-0.363820,1.437044,0.535335,-6.448992,0.000992
41,0.341667,-0.000302,0.930838,-0.005109,-0.365396,1.434427,0.533557,-6.449027,0.000352
42,0.350000,-0.000595,0.930493,-0.008174,-0.366218,1.434651,0.535011,-6.447434,0.001314
43,0.358333,-0.001034,0.931516,-0.004380,-0.363673,1.433352,0.534170,-6.445450,0.000939
44,0.366667,-0.001657,0.931162,-0.006486,-0.364543,1.432465,0.534908,-6.444480,0.000957
45,0.375000,-0.001226,0.931595,-0.004284,-0.363470,1.431277,0.534256,-6.442910,0.001008
46,0.383333,-0.000498,0.931132,-0.004054,-0.364660,1.429652,0.533656,-6.442372,0.000755
47,0.391667,-0.000396,0.931099,-0.003972,-0.364745,1.429718,0.534231,-6.440759,0.000897
48,0.400000,-0.001544,0.931688,-0.004175,-0.363233,1.428076,0.534231,-6.439090,0.000933
49,0.408333,-0.000822,0.931258,-0.003906,-0.364339,1.426370,0.533696,-6.438589,0.000696
50,0.416667,-0.000674,0.931239,-0.003656,-0.364390,1.426437,0.534204,-6.436926,0.000907
51,0.425000,-0.001035,0.931305,-0.003976,-0.364218,1.424209,0.533754,-6.436018,0.000706
52,0.433333,-0.001076,0.931360,-0.003860,-0.364078,1.423186,0.533806,-6.434722,0.000672
53,0.441667,-0.002020,0.931555,-0.004277,-0.363570,1.422092,0.534155,-6.433294,0.000842
54,0.450000,-0.000501,0.931028,-0.004119,-0.364925,1.421699,0.534107,-6.432240,0.000874
55,0.458333,-0.000895,0.931000,-0.005151,-0.364981,1.420196,0.534139,-6.431135,0.000648
56,0.466667,-0.002247,0.931708,-0.004152,-0.363177,1.418727,0.534214,-6.429383,0.000927
57,0.475000,-0.000402,0.930803,-0.005163,-0.365484,1.418115,0.534282,-6.428415,0.000533
58,0.483333,-0.001407,0.931348,-0.004445,-0.364100,1.417256,0.534467,-6.426931,0.001106
59,0.491667,-0.001810,0.931534,-0.004371,-0.363625,1.415098,0.533985,-6.425900,0.000348
60,0.500000,0.000263,0.930985,-0.003455,-0.365041,1.415187,0.534375,-6.424337,0.000890
61,0.508333,-0.002198,0.932275,-0.002381,-0.361735,1.413669,0.534344,-6.422730,0.000891
62,0.516667,0.000233,0.931041,-0.003419,-0.364899,1.412963,0.534479,-6.421741,0.000831
63,0.525000,-0.001755,0.931800,-0.003384,-0.362953,1.411029,0.534166,-6.420461,0.000676
64,0.533333,-0.001514,0.931925,-0.002991,-0.362637,1.409842,0.534211,-6.419201,0.000847
65,0.541667,-0.000986,0.931462,-0.003608,-0.363819,1.409426,0.534462,-6.417968,0.000902
66,0.550000,-0.002660,0.932121,-0.003757,-0.362117,1.407603,0.534595,-6.416388,0.000899
67,0.558333,-0.003109,0.932372,-0.003810,-0.361467,1.406459,0.534638,-6.415177,0.000987
68,0.566667,-0.001037,0.931881,-0.003132,-0.362751,1.406838,0.535162,-6.413520,0.000718
69,0.575000,-0.003102,0.932402,-0.003726,-0.361390,1.404209,0.534679,-6.412548,0.000983
70,0.583333,-0.001173,0.931744,-0.003986,-0.363093,1.403942,0.535032,-6.411264,0.000977
71,0.591667,-0.002233,0.932104,-0.004266,-0.362159,1.401540,0.534456,-6.410276,0.000286
72,0.600000,-0.001047,0.931776,-0.003993,-0.363010,1.401636,0.535119,-6.408646,0.000980
73,0.608333,0.000267,0.931569,-0.003134,-0.363552,1.400449,0.534905,-6.407425,0.000952
74,0.616667,-0.002296,0.932900,-0.002201,-0.360123,1.398911,0.534889,-6.405821,0.000919
75,0.625000,-0.001333,0.932381,-0.002626,-0.361466,1.398879,0.535726,-6.404164,0.001366
76,0.633333,-0.001504,0.932466,-0.003036,-0.361241,1.396055,0.534697,-6.403539,0.000827
77,0.641667,-0.001894,0.932323,-0.004197,-0.361598,1.394496,0.534809,-6.402441,0.000307
78,0.650000,-0.000806,0.932345,-0.003088,-0.361556,1.395200,0.535521,-6.400528,0.000749
79,0.658333,0.000278,0.931828,-0.003467,-0.362884,1.393427,0.535209,-6.399542,0.000900
80,0.666667,-0.000831,0.932190,-0.004122,-0.361945,1.392264,0.535445,-6.398178,0.001033
81,0.675000,0.000714,0.930621,-0.005341,-0.365945,1.392367,0.536019,-6.396009,0.001752
82,0.683333,-0.000648,0.932553,-0.003222,-0.361019,1.390403,0.535619,-6.395205,0.000681
83,0.691667,-0.001592,0.932627,-0.004201,-0.360814,1.387370,0.534851,-6.394573,0.000341
84,0.700000,0.000202,0.930641,-0.006880,-0.365868,1.389827,0.537118,-6.391262,0.002236
85,0.708333,-0.002070,0.933916,-0.001210,-0.357485,1.390117,0.538119,-6.390174,0.001509
86,0.716667,-0.003563,0.933378,-0.005632,-0.358832,1.385382,0.536717,-6.389384,0.001007
87,0.725000,-0.002122,0.932246,-0.007174,-0.361747,1.385001,0.536863,-6.388397,0.001072
88,0.733333,-0.002036,0.933324,-0.005290,-0.358990,1.385542,0.536948,-6.386057,0.001689
89,0.741667,-0.002094,0.932428,-0.006544,-0.361290,1.382594,0.536961,-6.385712,0.000852
90,0.750000,0.000335,0.930992,-0.007021,-0.364973,1.382538,0.537141,-6.383183,0.002194
91,0.758333,-0.002847,0.932856,-0.006190,-0.360185,1.378765,0.536241,-6.383296,0.000790
92,0.766667,-0.001938,0.932541,-0.007129,-0.360989,1.378914,0.536883,-6.381644,0.001054
93,0.775000,-0.001716,0.932241,-0.006951,-0.361768,1.376879,0.536480,-6.380871,0.000990
94,0.783333,-0.001875,0.933621,-0.005313,-0.358219,1.378103,0.536938,-6.377934,0.001724
95,0.791667,-0.001961,0.932807,-0.006884,-0.360306,1.375448,0.536710,-6.377110,0.001809
96,0.800000,-0.001985,0.932491,-0.008317,-0.361091,1.373238,0.536590,-6.376453,0.001245
97,0.808333,-0.000245,0.932278,-0.005188,-0.361705,1.375016,0.537657,-6.372196,0.001948
98,0.816667,-0.000318,0.932330,-0.005126,-0.361572,1.373747,0.537609,-6.370804,0.001934
99,0.825000,-0.001724,0.934621,-0.001156,-0.355639,1.372827,0.538069,-6.371103,0.001546
100,0.833333,-0.001844,0.934675,-0.001197,-0.355496,1.371606,0.537994,-6.369763,0.001561
101,0.841667,-0.001817,0.934757,-0.001223,-0.355280,1.370384,0.537965,-6.368409,0.001562
102,0.850000,-0.001814,0.934769,-0.001247,-0.355248,1.369018,0.537881,-6.366978,0.001524
103,0.858333,-0.001858,0.934818,-0.001063,-0.355121,1.367679,0.537831,-6.365549,0.001539
104,0.866667,0.000554,0.931602,-0.007425,-0.363405,1.365058,0.536720,-6.364259,0.001580
105,0.875000,-0.002681,0.933590,-0.006069,-0.358282,1.361156,0.535780,-6.363876,0.000790
106,0.883333,-0.001838,0.934252,-0.004916,-0.356575,1.362936,0.536481,-6.361178,0.001727
107,0.891667,-0.001954,0.935035,-0.000967,-0.354548,1.362649,0.537648,-6.359857,0.001618
108,0.900000,-0.001247,0.933068,-0.006257,-0.359644,1.358402,0.535989,-6.359613,0.000889
109,0.908333,-0.002416,0.934251,-0.005533,-0.356564,1.356012,0.535520,-6.357893,0.001007
110,0.916667,-0.001841,0.934437,-0.004991,-0.356089,1.357723,0.536184,-6.355445,0.001693
111,0.925000,-0.003254,0.933870,-0.006203,-0.357543,1.352857,0.535087,-6.355490,0.000762
112,0.933333,-0.002051,0.933584,-0.006284,-0.358298,1.353451,0.535956,-6.353549,0.000853
113,0.941667,-0.001875,0.933290,-0.006715,-0.359056,1.351335,0.535446,-6.352674,0.000948
114,0.950000,-0.003160,0.933448,-0.007349,-0.358625,1.350559,0.535903,-6.350946,0.001257
115,0.958333,-0.003345,0.933529,-0.007345,-0.358411,1.349172,0.535796,-6.349483,0.001284
116,0.966667,-0.003298,0.934159,-0.006009,-0.356790,1.346245,0.534652,-6.348244,0.000732
117,0.975000,-0.003398,0.933599,-0.007359,-0.358227,1.346575,0.535703,-6.346569,0.001292
118,0.983333,-0.003411,0.933670,-0.007289,-0.358045,1.345256,0.535566,-6.345122,0.001253
119,0.991667,-0.003457,0.933739,-0.007071,-0.357868,1.343927,0.535435,-6.343614,0.001253
120,1.000000,-0.002218,0.933715,-0.006524,-0.357950,1.342119,0.534870,-6.342411,0.000943
121,1.008333,-0.001927,0.934365,-0.005859,-0.356265,1.340949,0.534764,-6.340622,0.001354
122,1.016667,-0.002385,0.934150,-0.006065,-0.356820,1.340190,0.535131,-6.338937,0.000865
123,1.025000,-0.003217,0.934568,-0.005649,-0.355727,1.337475,0.534279,-6.337671,0.000776
124,1.033333,-0.003351,0.934592,-0.005648,-0.355662,1.336138,0.534235,-6.336237,0.000784
125,1.041667,-0.000627,0.934313,-0.004232,-0.356428,1.334437,0.533278,-6.335231,0.000429
126,1.050000,0.000035,0.934590,-0.003074,-0.355713,1.333865,0.533328,-6.333348,0.000860
127,1.058333,-0.001728,0.934872,-0.003893,-0.354961,1.330937,0.532794,-6.332283,0.000237
128,1.066667,-0.001467,0.935100,-0.002747,-0.354372,1.331048,0.533143,-6.330261,0.000942
129,1.075000,-0.000629,0.934450,-0.004592,-0.356064,1.328804,0.532862,-6.329297,0.000629
130,1.083333,-0.000810,0.934590,-0.004189,-0.355702,1.327407,0.532770,-6.327879,0.000375
131,1.091667,-0.000632,0.934271,-0.004440,-0.356535,1.328012,0.533554,-6.325548,0.001749
132,1.100000,-0.000799,0.934705,-0.004139,-0.355398,1.324650,0.532580,-6.324895,0.000399
133,1.108333,0.000295,0.934759,-0.002880,-0.355270,1.323644,0.532508,-6.323214,0.001017
134,1.116667,-0.001071,0.935367,-0.002872,-0.353665,1.322917,0.532872,-6.321344,0.000872
135,1.125000,-0.000814,0.934833,-0.004484,-0.355058,1.320355,0.532393,-6.320464,0.000579
136,1.133333,-0.000826,0.934898,-0.004602,-0.354886,1.319048,0.532369,-6.318901,0.000604
137,1.141667,-0.000711,0.934923,-0.004600,-0.354821,1.317556,0.532288,-6.317486,0.000557
138,1.150000,-0.001816,0.935529,-0.004223,-0.353219,1.315452,0.531951,-6.315993,0.000212
139,1.158333,-0.001117,0.935362,-0.003999,-0.353669,1.315285,0.532426,-6.314257,0.001021
140,1.166667,-0.001567,0.935838,-0.002951,-0.352415,1.314162,0.532359,-6.312478,0.000977
141,1.175000,-0.000376,0.934671,-0.004552,-0.355486,1.313425,0.532674,-6.310933,0.001446
142,1.183333,-0.000188,0.934726,-0.004577,-0.355338,1.311971,0.532694,-6.309428,0.001467
143,1.191667,-0.000655,0.935262,-0.004747,-0.353923,1.309128,0.532035,-6.308529,0.000622
144,1.200000,-0.000856,0.935453,-0.004329,-0.353423,1.307643,0.532036,-6.307044,0.000392
145,1.208333,-0.001954,0.936024,-0.003893,-0.351909,1.305438,0.531587,-6.305535,0.000298
146,1.216667,-0.000603,0.935595,-0.004378,-0.353047,1.304668,0.531950,-6.304092,0.000390
147,1.225000,-0.001105,0.935819,-0.004242,-0.352455,1.303480,0.531945,-6.302559,0.001058
148,1.233333,-0.000550,0.935709,-0.004249,-0.352746,1.302163,0.532025,-6.300953,0.000989
149,1.241667,0.000466,0.935740,-0.003383,-0.352674,1.300794,0.531792,-6.299353,0.000639
150,1.250000,-0.000532,0.935861,-0.004290,-0.352343,1.299303,0.532074,-6.297965,0.000966
151,1.258333,-0.000575,0.935906,-0.004321,-0.352222,1.297516,0.531850,-6.296567,0.000404
152,1.266667,-0.001011,0.936123,-0.004363,-0.351644,1.295821,0.531761,-6.295138,0.000527
153,1.275000,-0.000368,0.936006,-0.004318,-0.351958,1.294576,0.531852,-6.293522,0.000386
154,1.283333,0.000733,0.936070,-0.003349,-0.351797,1.293526,0.531868,-6.291821,0.000764
155,1.291667,-0.000168,0.936167,-0.004146,-0.351531,1.292055,0.532068,-6.290398,0.000959
156,1.300000,-0.000156,0.936219,-0.004190,-0.351393,1.290567,0.532107,-6.288843,0.001015
157,1.308333,-0.000167,0.936287,-0.004133,-0.351212,1.289108,0.532081,-6.287332,0.000940
158,1.316667,0.000137,0.935832,-0.004667,-0.352415,1.289366,0.532936,-6.285084,0.001743
159,1.325000,0.000984,0.936371,-0.003381,-0.350994,1.286289,0.532010,-6.284248,0.000669
160,1.333333,0.001033,0.936471,-0.003204,-0.350729,1.284725,0.531983,-6.282712,0.000731
161,1.341667,-0.000485,0.936684,-0.004155,-0.350151,1.282734,0.531927,-6.281457,0.000534
162,1.350000,0.000119,0.936591,-0.004096,-0.350400,1.281317,0.532025,-6.279798,0.000404
163,1.358333,0.000247,0.936640,-0.004044,-0.350271,1.280293,0.532254,-6.278164,0.001001
164,1.366667,0.000330,0.936710,-0.003960,-0.350084,1.278808,0.532255,-6.276646,0.000987
165,1.375000,0.000321,0.936747,-0.004040,-0.349984,1.277353,0.532341,-6.275062,0.000999
166,1.383333,0.000304,0.936839,-0.003912,-0.349740,1.275746,0.532319,-6.273510,0.000953
167,1.391667,0.000345,0.936858,-0.004068,-0.349686,1.273913,0.532201,-6.272086,0.000433
168,1.400000,0.000487,0.936940,-0.003929,-0.349468,1.272842,0.532451,-6.270421,0.000975
169,1.408333,0.001559,0.936998,-0.002945,-0.349319,1.271395,0.532236,-6.268774,0.000720
170,1.416667,-0.001076,0.938117,-0.001976,-0.346312,1.269447,0.532230,-6.266690,0.001010
171,1.425000,0.000311,0.937362,-0.003484,-0.348340,1.268494,0.532601,-6.265526,0.001021
172,1.433333,0.000623,0.937132,-0.004142,-0.348950,1.266357,0.532360,-6.264228,0.000580
173,1.441667,0.001638,0.937289,-0.002546,-0.348539,1.265441,0.532463,-6.262444,0.001020
174,1.450000,0.000416,0.937578,-0.002876,-0.347762,1.263715,0.532321,-6.260978,0.001024
175,1.458333,0.000363,0.937858,-0.002394,-0.347012,1.263060,0.532981,-6.258909,0.000839
176,1.466667,0.007205,0.935372,0.000827,-0.353592,1.263316,0.535708,-6.255209,0.001594
177,1.475000,0.000530,0.937746,-0.002780,-0.347311,1.259152,0.532428,-6.256145,0.001025
178,1.483333,-0.001190,0.938340,-0.002871,-0.345700,1.256910,0.532560,-6.254343,0.001019
179,1.491667,0.000781,0.937523,-0.003775,-0.347902,1.255772,0.532572,-6.253048,0.000577
180,1.500000,0.000714,0.937562,-0.003836,-0.347796,1.254303,0.532668,-6.251461,0.000608
181,1.508333,0.001716,0.937747,-0.002073,-0.347308,1.253233,0.532704,-6.249643,0.001065
182,1.516667,-0.000028,0.937242,-0.004270,-0.348653,1.253944,0.533908,-6.246934,0.001756
183,1.525000,0.000310,0.938141,-0.002474,-0.346244,1.250041,0.532604,-6.246509,0.001038
184,1.533333,-0.000274,0.938227,-0.003260,-0.346006,1.248517,0.532902,-6.244871,0.001198
185,1.541667,0.000649,0.937872,-0.003579,-0.346962,1.246547,0.532733,-6.243356,0.000626
186,1.550000,0.000262,0.938180,-0.003046,-0.346134,1.245663,0.533070,-6.241475,0.001115
187,1.558333,0.000474,0.938001,-0.003618,-0.346613,1.243406,0.532763,-6.240098,0.000612
188,1.566667,0.000432,0.938029,-0.003578,-0.346537,1.241959,0.532790,-6.238474,0.000603
189,1.575000,0.000017,0.938341,-0.003094,-0.345697,1.241026,0.533145,-6.236630,0.001093
190,1.583333,-0.000017,0.938510,-0.002342,-0.345246,1.239251,0.532719,-6.235081,0.000949
191,1.591667,-0.000936,0.938978,-0.001868,-0.343971,1.236906,0.532517,-6.233305,0.000732
192,1.600000,-0.000184,0.938674,-0.002274,-0.344798,1.236097,0.532739,-6.231766,0.000908
193,1.608333,0.000040,0.938403,-0.003518,-0.345524,1.234203,0.532897,-6.230231,0.000661
194,1.616667,0.000049,0.938414,-0.003579,-0.345495,1.232659,0.532875,-6.228611,0.000609
195,1.625000,-0.000623,0.938768,-0.003349,-0.344532,1.230901,0.532786,-6.227061,0.000757
196,1.633333,-0.000909,0.938942,-0.003132,-0.344059,1.229921,0.533075,-6.225196,0.001193
197,1.641667,-0.000823,0.938865,-0.003328,-0.344268,1.227740,0.532729,-6.223769,0.000714
198,1.650000,0.000794,0.938751,-0.002008,-0.344590,1.226810,0.532862,-6.221833,0.001060
199,1.658333,-0.000529,0.938916,-0.003132,-0.344131,1.225370,0.533154,-6.220210,0.001180
200,1.666667,-0.000636,0.939401,-0.001883,-0.342816,1.224399,0.533332,-6.218231,0.000886
201,1.675000,-0.000380,0.938896,-0.003533,-0.344182,1.221607,0.532816,-6.217074,0.000643
202,1.683333,-0.000373,0.938892,-0.003696,-0.344193,1.219968,0.532827,-6.215395,0.000583
203,1.691667,-0.001235,0.936958,-0.006456,-0.349379,1.221096,0.533568,-6.210365,0.002755
204,1.700000,-0.002921,0.940194,-0.005344,-0.340585,1.220850,0.533664,-6.210213,0.001844
